Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
383,2002-08-20,Andritz AG,Stattegger Str. 18 8045 Graz ,Austria,spółka akcyjna,"Planowanie, konstrukcja, produkcja i obrót maszynami i kompletnymi urządzeniami dla przedsiębiorstw, w szczególności dla przemysłu celulozowego, papierniczego, stalowego, paszowego oraz branży energetycznej i ochrony środowiska; handel komponentami do tych maszyn i urządzeń oraz związane z tym świadczenie usług.",Jacek Kabat,Al. Bzów 36 A,02-495,Warszawa,mazowieckie,Wykreślone 01-05-2022,
387,2002-09-09,INTERSURGICAL UAB,ul. Arnioniu 60/28-1 LT-4710 Pabrade,Litwa,zamknięta spółka akcyjna,Produkcja i handel detaliczny urządzeniami medycznymi i narzędziami chirurgicznymi.,Elżbieta Krystyna Koenig,ul. Trakt Lubelski 237 R,04-667,Warszawa,mazowieckie,Wykreślone 01-05-2022,
398,2002-09-30,Sedlecky kaolin a.s. ,362 25 Boźićany ,Republika Czeska,spółka akcyjna,"Produkcja i sprzedaż kaolinów, produkcja i sprzedaż farb, tynków i piasków dla budownictwa, produkcja i sprzedaż ceramiki kwasoodpornej, sanitarnej i ogrodowej, obrót materiałami budowlanymi.",Bożena Piasecka,ul. Wincentego Rzymowskiego 30 lok. 319,02-697,Warszawa,mazowieckie,Aktywne,30.04.2026
412,2002-12-17,Bunge Loders Croklaan B.V. ,Hogeweg 1 1521 AZ Wormerveer ,Niderlandy,spółka z o.o.,"Produkcja i sprzedaż specjalistycznych dietetycznych produktów lipidowych, takich jak oleje i tłuszcze dla przemysłu spożywczego.",Marcin Troniarz,ul. Hrubieszowska 2,01-209,Warszawa,mazowieckie,Aktywne,30.04.2026
414,2002-12-30,Santen Oy ,Niittyhaankatu 20 33721 Tampere ,Finlandia,spółka akcyjna,Produkcja i handel lekami oraz inna z tym związana działalność gospodarcza.,Krzysztof Kołodziejski ,Al. Jerozolimskie 146 B,02-305,Warszawa,mazowieckie,Aktywne,30.04.2026
415,2002-12-30,STROJIMPORT a.s. ,U Nakladoveho nadrażi 6 130 86 Praga ,Republika Czeska,spółka akcyjna,Handel zagraniczny obrabiarkami do metali i wyrobami przemysłu maszynowego.,Jiri Pucholt ,ul. Czerniawska 2A/27,50-576 ,Wrocław,dolnośląskie,Aktywne,30.04.2026
416,2002-12-30,Fritz Oswald GmbH,Maierhof 48 A-8443 Gleinstatten ,Austria,spółka z o.o.,"Handel towarami wszelkiego rodzaju, a w szczególności owocami.",Jolanta Ocioszyńska,ul. Kordeckiego 25,05-502,Piaseczno,mazowieckie,Aktywne,30.04.2026
421,2002-12-30,SONDERJANSEN B.V.,Dorpsstraat 66 NL-5241 ED Rosmalen ,Niderlandy,spółka z o.o.,"Działalność handlowa (głównie wywóz z Polski) związana z produktami mrożonymi, w szczególności mrożonymi owocami i warzywami oraz produktami rolnymi.",Stanisław Szewczyk,ul. Wrocławska 18 lok. 100,01-493,Warszawa,mazowieckie,Aktywne,30.04.2026
424,2003-01-23,Vitra International AG,Kluenenfeldstrasse 22 4127 Muttenz,Szwajcaria,spółka akcyjna,Produkcja i dystrybucja mebli biurowych w kraju i za granicą.,Marta Łyczewska,ul. Burakowska 5/7,01-066,Warszawa,mazowieckie,Wykreślone 31-12-2021,
427,2003-12-02,DAVID ADAMSON & PARTNERS LIMITED,32 Rutland Square EHI 2B W Edinburgh,Wielka Brytania,prywatna spółka z o.o.,"Usługi doradcze prowadzone na rynku nieruchomości, usługi konsultacyjne w zakresie przedsięwzięć budowlanych, usługi w zakresie zarządzania.",Helen Grela,ul. Fabryczna 16/22 m. 54,00-446,Warszawa,mazowieckie,Wykreślone 11-07-2020,
431,2003-10-03,Taxback,"Ida Business & Technology Park, Ring Road Kilkenny",Irlandia,spółka z nieograniczoną odpowiedzialnością,"Świadczenie usług związanych ze zwrotem podatku na rzecz osób z krajów położonych na obszarze całego świata, które pracowały w danym kraju i którym należy się zwrot podatku lub innych zapłaconych należności podatkowych, w tym podatku dochodowego, kościelnego, federalnego, stanowego oraz innych podatków. Świadczenie usług związanych ze zwrotem kwot ubezpieczenia społecznego na rzecz osób z krajów położonych na obszarze całego świata, które pracowały w danym kraju i którym należy się zwrot składek na ubezpieczenie społeczne, w tym składek zdrowotnych, ubezpieczenia na wypadek bezrobocia, składek emerytalnych oraz innych składek ubezpieczeniowych. Świadczenie usług związanych z rewindykacją należnych wynagrodzeń za pracę na rzecz osób z krajów położonych na obszarze całego świata, które pracowały w danym kraju i którym należy się wynagrodzenie od poprzednich pracodawców.","Joanna Murphy, Sinead Fitzmaurice",ul. Focha 13/3U,26-600,Radom,mazowieckie,Wykreślone 01-05-2022,
433,2003-03-19,STEELCASE S.A.,"1, allee d'Oslo, Espace europeen de l'entreprise 67300 Schiltigheim ",Francja,spółka akcyjna uproszczona,"Projektowanie, produkcja, import, eksport, kupno, dystrybucja, sprzedaż i wynajmowanie mebli i artykułów przeznaczonych głównie do urządzania miejsc pracy, projektowanie i wykonywanie robót zagospodarowywania i architektury wnętrz.",Ilinca Popescu,Al. Jerozolimskie 96,00-807,Warszawa,mazowieckie,Wykreślone 01-05-2024,
457,2003-10-09,NGK Spark Plug Europe GmbH,Harkortstrasse 41 40880 Ratingen,Niemcy,spółka z o.o.,"Import i eksport oraz handel wszelkiego rodzaju wyrobami spółki NGK Spark Plug Co. Ltd w Nagoji, w szczególności świecami zapłonowymi lub ceramiką przemysłową.",Tomasz Mariusz Manaj,ul. Rejtana 17 lok.10,02-516,Warszawa,mazowieckie,Wykreślone 16-06-2023,
461,2003-08-10,ARINC Incorporated,2551 Riva Road 21401 Maryland Annapolis  ,Stany Zjednoczone Ameryki,spółka prawa stanu Delaware,"Działalność w zakresie rozwoju, zarządzania i wdrażania systemów komunikacyjnych (w tym radiokomunikacyjnych) oraz przetwarzania danych w następujących branżach: zarządzanie lotniskami, lotnictwo, obronność, administracja rządowa, transport naziemny. Spółka świadczy także usługi doradcze i wsparcia technicznego w ramach wyżej wskazanych dziedzin.",Beata Lahey,ul. Bernardyńska 9 m. 3,31-069,Kraków,małopolskie,Wykreślone 01-05-2024,
475,2004-08-03,Netzsch Pumpen & Systeme GmbH,Gebrüder-Netzsch-Straße 19 95100 Selb ,Niemcy,spółka z o.o.,"Produkcja i sprzedaż mimośrodowych pomp wyporowych, znajdujących zastosowanie na całym świecie w przemyśle chemicznym, spożywczym oraz w ochronie środowiska.",Piotr Podobiński,ul. Pileckiego 104 m. 34,02-781,Warszawa,mazowieckie,Aktywne,30.04.2026
476,2004-03-18,Fruit Management Europe B.V.,"Molenstraat 35, 6121 XD Born ",Niderlandy,spółka z o.o.,Handel owocami i warzywami oraz świadczenie usług doradczych w tym zakresie.,Anna Dubińska,ul. Tyniecka 27 lok.13,02-615,Warszawa,mazowieckie,Aktywne,30.04.2026
478,2004-03-24,"OAO ""Rossijskije żeleznyje dorogi"" (nazwa skrócona: OAO ""RŻD"")",ul. Nowaja Basmannaja 2 Moskwa,Rosja,otwarta spółka akcyjna,"Transport kolejowy: pasażerski i towarowy, spedycja.",Vadim Serov,ul. Nowy Świat 49 lok. 108,00-042,Warszawa,mazowieckie,Wykreślone 31-07-2022,
479,2004-03-29,Rolfs Flyg- & Bussresor Aktiebolag ,Hjalmar Brantingsg. 1 417 06 Goteborg,Szwecja,prywatna spółka akcyjna,Prowadzenie biura podróży.,Danuta Karlsson,ul. Duńska 50b/12,71-795,Szczecin,zachodniopomorskie,Wykreślone 11-07-2020,
486,2004-06-25,Sojitz Europe plc,"8 Finsbury Circus, 7th Floor EC2M 7EA Londyn",Wielka Brytania,publiczna sp. ograniczona udziałami,"Handel urządzeniami i przyrządami elektrycznymi, elektronicznymi i komunikacyjnymi, urządzeniami i przyrządami precyzyjnymi oraz handel barwnikami, pigmentami, farbami, smarami, celuloidami, tworzywami sztucznymi i innymi produktami chemicznymi.",Olga Czyżewska,ul. Ogrodowa 58,00-876,Warszawa,mazowieckie,Wykreślone 16-11-2023,
489,2004-09-07,Denso Europe B.V.,Hogeweyselaan 165 1382JL Weesp ,Niderlandy,spółka z o.o.,"Import, eksport, dystrybucja, sprzedaż, produkcja oraz naprawa urządzeń elektrycznych, klimatyzacyjnych oraz grzewczych do pojazdów, motocykli i silników spalinowych.",Rafał Płonka ,ul. Powstańców Śląskich 28/30,53-333,Wrocław,dolnośląskie,Wykreślone 30-06-2022,
499,2004-08-20,The Association of Chartered Certified Accountants,"The Adelphi, 1-11 John Adam Street WC2N 6AU Londyn",Wielka Brytania,organizacja,"Sprzyjanie rozwojowi księgowości, zarządzania finansowego, audytu oraz dziedzin pokrewnych związanych z usługami świadczonymi przez księgowych; promowanie najwyższych standardów kompetencji, praktyki i etyki osób wykonujących zawód księgowego i sprawujących funkcje finansowe w przedsiębiorstwach; organizowanie egzaminów; przyznawanie certyfikatów ACCA, dyplomów, świadectw i innych dokumentów; prowadzenie wspólnie z Uniwersytetem Oxford Brooks programu MBA oraz szeroko pojęty marketing i promocja kwalifikacji ACCA, która obejmuje publikację materiałów reklamowych i edukacyjnych organizacji.","Jakub Wojnarowski, Magdalena Krupa-Hernandez",ul. Puławska 2,02-566,Warszawa,mazowieckie,Wykreślone 11-07-2020,
501,2004-08-20,"Raytheon International, Inc.","1209 Orange Street Wilmington, Delaware",Stany Zjednoczone Ameryki,spółka kapitałowa,"Działalność w zakresie reklamy, promocji i marketingu produktów spółki Raytheon Company.",Kevin B. Dent,"ul. Mokotowska 49, Mokotowska Square, piętro 5",00-542,Warszawa,mazowieckie,Wykreślone 28-04-2022,
001/R,2004-10-09,"Publicznoje Akcioniernoje Obszczestwo ""TRANSNEFT"" (nazwa skrócona: PAO ""TRANSNEFT"") ","ul. Presnenskaya Naberezhnaya nr domu 4, blok nr 2 123112 Moskwa",Rosja,publiczna spółka akcyjna,"Świadczenie usług w dziedzinie przesyłu ropy, gazu i produktów ich przerobu systemem głównych rurociągów naftowych w Federacji Rosyjskiej i za jej granicami. Przesył rurociągami głównymi ropy, gazu i produktów ich przerobu.",Jurij Iwanowicz Szugajew,Adamowo,17-307,Mielnik,podlaskie,Wykreślone 11-07-2020,
005/R,2004-10-13,Chiron Vaccines International s.r.l. & Co. KG,Emil-von-Behring-str. 76 35041 Marburg,Niemcy,spółka komandytowa,"Przedmiotem działalności Spółki jest prowadzenie, zarządzanie i koordynacja działalności jej spółek zależnych. Spółka jest również uprawniona do prowadzenia działalności marketingowej.",Adam Soltan,ul. Puławska 314,02-819,Warszawa,mazowieckie,Wykreślone 11-07-2020,
012/R,2004-11-22,DEBUS Umweltgerechte Entsorgungs GmbH,Soltauerstraße 14-16 13509 Berlin,Niemcy,spółka z o.o.,"Usuwanie i utylizacja azbestu, usuwanie i utylizacja PCB (polichlorowanych difenoli), prace rozbiórkowe, koordynacja przedsięwzięć związanych z rekonstrukcją w ramach prac związanych z usuwaniem i utylizacją szkodliwych substancji ",Hubert Pietrzykowski,ul. Rynkowa 70,62-081,Przeźmierowo,wielkopolskie,Aktywne,30.04.2026
014/R,2004-11-23,"Objedinenie ""BIEŁORUSSKAJA ŻELEZNAJA DOROGA""",ul. Lenina 17 220030 Mińsk,Białoruś,przedsiębiorstwo państwowe,Zarządzanie pasażerskim i towarowym transportem kolejowym.,Dmitry Zhidkov,Al. Jerozolimskie 65/79 pok. 16.14,00-697,Warszawa,mazowieckie,Wykreślone 01-05-2022,
018/R,2004-12-23,SURTECO GmbH,Am Brühl 6 86647 Buttenwiesen,Niemcy,spółka z o.o.,Produkcja i sprzedaż zadrukowanych papierów dekoracyjnych oraz pochodnych tych produktów.,Marco Francescon,ul. Towarowa 7,00-839,Warszawa,mazowieckie,Aktywne,30.04.2026
024/R,2005-01-14,GROSFILLEX SARL,01100 Arbent,Francja,spółka z o.o.,Produkcja i sprzedaż wyrobów z tworzyw sztucznych i ich pochodnych.,Benoit Consigny,Al. Pokoju 78/113,31-564,Kraków,małopolskie,Wykreślone 11-07-2020,
047/R,2005-04-07,FOODNET LIMITED,"The Old Grammar School, 3-7 Market Square Amersham, Bucks HP7 0DF",Wielka Brytania,spółka z o.o.,"Przygotowywanie, przetwarzanie, transport i sprzedaż żywności mrożonej, produktów regionalnych oraz substancji używanych w procesach przygotowywania i przetwarzania żywności.",Mariusz Małolepszy,ul. Kosiarzy 37 lok. 94,02-953,Warszawa,mazowieckie,Wykreślone 11-07-2020,
054/R,2005-08-29,"GAS & OIL Engineering, s.r.o.",Karpatska 3256/15 058 01 Poprad,Słowacja,spółka z o.o.,"Budownictwo lądowe, wodne i specjalistyczne (rurociągi, gazociągi, ropociągi), w tym: wykonawstwo, nadzór budowlany, działalność inżynieryjna, przebudowy, prace konserwatorskie, wyposażenie techniczne, technologiczne i energetyczne budynków (urządzenia elektrotechniczne, gazowe, grzewcze i klimatyzacyjne, produkcyjno-technologiczne, instalacje sanitarne, handel, pośrednictwo w produkcji, handlu, usługach i transporcie budowlanym, doradztwo gospodarcze, organizacja szkoleń i kursów.",Anatol Tkacz,ul. Wojska Polskiego 27/11,01-515,Warszawa,mazowieckie,Wykreślone 11-07-2020,
057/R,2005-09-13,Moon Travel - Viagens e Turismo Lda,"Rua Sousa Lopez, Edificio Gemini, Lote PQ, Ap.107 Lizbona",Portugalia,spółka z o.o.,Zarządzanie i działalność właściwa dla biur podróży i biur turystycznych.,Gabriela Maria Grzegorzak Justino,ul. Gwiezdna 19,32-087,Zielonki,małopolskie,Wykreślone 11-07-2020,
058/R,2005-09-14,ATLANTIC Chemicals Trading GmbH,Hermannstrasse 46 D-20095 Hamburg,Niemcy,spółka z o.o.,"Sprzedaż dodatków do żywności i surowców chemicznych (dla m.in. przemysłu napojów, mleczarstwa, cukiernictwa, odżywek).",Rafał Majkowski,ul. Bokserska 64,02-690,Warszawa,mazowieckie,Aktywne,30.04.2026
059/R,2005-09-15,Unicorn HRM Limited,132 Jame's Street Dublin 8,Irlandia,spółka z o.o.,"Rekrutacja specjalistów szkoleń informatycznych, konsultantów biznesowych, pracowników stałych/czasowych oraz wszelka działalność właściwa dla agencji rekrutacyjnej.",Piotr Bielenda,ul. Elektoralna 4/6 m. 35,00-139,Warszawa,mazowieckie,Wykreślone 11-07-2020,
061/R,2005-09-20,CELKO CHEMICAL S.R.L.,"Via San Francesco a Patria, Loc. Vignatella 80014 Giuliano in Campania (NA)",Włochy,spółka z o.o.,"Produkcja i handel chemicznymi środkami pomocniczymi do ochrony urządzeń przemysłowych służących uzyskaniu oszczędności energii elektrycznej, ochronie środowiska naturalnego, czystości i sanifikacji, produkcja i handel przyrządami przemysłowymi i detergentami, wykonywanie analiz laboratoryjnych, doradztwo i obsługa techniczna, normatywna i organizacyjna w zakresie ogólnej produkcji przemysłowej.",Rossano Celani,ul. Dzielna 21/51,01-029,Warszawa,mazowieckie,Wykreślone 11-07-2020,
065/R,2005-10-24,United Electric Controls Company,"180 Dexter Avenue 02472 Watertown, Massachusetts",Stany Zjednoczone Ameryki,korporacja krajowa na mocy Gen. Prawa Stanu Massachusetts,Produkcja czujników ciśnieniowych i termometrycznych.,Jan Tomasz Fatek,ul. Kujawska 5,05-806,Komorów,mazowieckie,Wykreślone 11-07-2020,
079/R,2006-01-18,NORWEST FOODS INTERNATIONAL LIMITED,"Haig Road, 3 Haig Court WA 16 8XZ Knutsford, Cheshire",Wielka Brytania,spółka z o.o.,Produkcja i handel towarami rolno-spożywczymi.,Bożena Wierzbicka,ul. Migdałowa 10 lok. 9,02-796,Warszawa,mazowieckie,Aktywne,30.04.2026
085/R,2006-03-16,PCC SE,Moerser Str. 149 D-47198 Duisburg  ,Niemcy,spółka europejska,"Handel substancjami chemicznymi pochodzenia paliwowego i węglowego, nabywanie, finansowanie, utrzymywanie i zarządzanie udziałami/akcjami przedsiębiorstw , doradztwo i przejmowanie pozostałych zadań przedsiębiorstw z zakresu ekonomiki i organizacji. ",Marzena Ambroziak,Al. Jerozolimskie 65/79,00-697,Warszawa,mazowieckie,Wykreślone 11-07-2020,
093/R,2006-05-23,Andreas Wendt GmbH,Am Neumarkt 38b 22041 Hamburg,Niemcy,spółka z o.o.,"Import i eksport, działalność agencyjna, handel mrożonymi owocami i warzywami. ",Marcin Łagowski,ul. Pozytywki 27,02-881,Warszawa,mazowieckie,Aktywne,30.04.2026
095/R,2006-06-13,Hupac Intermodal SA,Viale R. Manzoni 6 6830 Chiasso,Szwajcaria,spółka akcyjna,"Organizacja i realizacja transportów w przewozach intermodalnych. Spółka może załatwiać wszystkie sprawy powiązane ze sobą bezpośrednio lub pośrednio, rozwijać swoją działalność w pokrewnych branżach, pozyskiwać, zbywać i zarządzać terenami oraz nabywać przedsiębiorstwa lub w nich uczestniczyć.",Beata Mizeracka,Al. Jerozolimskie 125/127,02-017,Warszawa,mazowieckie,Wykreślone 01-05-2022,
096/R,2006-06-13,"Viafina, Handels AG",Gattikenstrasse 5 CH-8032 Zurych,Szwajcaria,spółka akcyjna,"Handel surowcami, półproduktami oraz produktami gotowymi.",Maciej Jachimczyk,ul. Strzelecka 27/29 m. 138,03-433,Warszawa,mazowieckie,Wykreślone 11-07-2020,
103/R,2006-01-08,CHINA MOTORS (HONG KONG) LIMITED,"26/F, Beautiful Group Tower Central 77 Connaught Road Central",Chiny/Hongkong,spółka z o.o.,Promocja i eksport pojazdów mechanicznych wyprodukowanych w Chinach.,Bohdan Bogucki,ul. Kłajpedzka 7 B/6,81-533,Gdynia,pomorskie,Wykreślone 11-07-2020,
105/R,2006-08-25,THE GARMON CORPORATION,27461 - B Diaz Road Kalifornia 92590 Temecula,Stany Zjednoczone Ameryki,spółka prawa amerykańskiego,Przetwarzanie pożywienia dla zwierząt.,Karol Zieliński,ul. Falęcka 5/7 m. 13,02-547,Warszawa,mazowieckie,Wykreślone 11-07-2020,
106/R,2006-08-28,Daiwa Germany GmbH,Georg-Brauchle-Ring 23-25 80992 Monachium,Niemcy,spółka z o.o.,"Rozwój, produkcja i sprzedaż artykułów i akcesoriów sportowych, w szczególności sprzętu i akcesoriów wędkarskich pod markami Daiwa i Cormoran.",Klaus Boisen Hansen,ul. Ceramiczna 1,20-150,Lublin,lubelskie,Aktywne,30.04.2026
108/R,2006-08-30,"Draka Kabely, s.r.o.","594 01 Velke Mezirici , ",Republika Czeska,spółka z o.o.,"Produkcja tablic rozdzielczych niskiego napięcia, handel hurtowy.",Paweł Filus ,ul. Dworcowa 33,88-100,Inowrocław,kujawsko-pomorskie,Wykreślone 01-05-2022,
126/R,2006-07-12,CORAL CLUB INTERNATIONAL INC.,"225 Duncan Mill. Rd., s.306 M3B 3H9 Ontario, North York ",Kanada,korporacja,Produkcja i dystrybucja suplementów diety oraz kosmetyków.,Nikolaj Josko,ul. Lokajskiego 30 m. 5,02-793,Warszawa,mazowieckie,Wykreślone 11-07-2020,
129/R,2006-12-28,EURALIS SEMENCES,Avenue Gaston Phoebus 64230 Lescar,Francja,spółka akcyjna uproszczona,"Badania naukowe, rozwój, produkcja i eksploatacja odmian roślinnych gatunków roślin uprawnych, kupno, sprzedaż nasion, zbóż, roślin oleistych, nasion warzyw oraz wszelkich nasion, wysiew.",Piotr Siepak,ul. Chłapowskiego 22/14,63-100,Śrem,wielkopolskie,Wykreślone 11-07-2020,
135/R,2007-01-30,ERCO Lighting GmbH,Engerthstrasse 151 / Loft e.6 1020 Wiedeń,Austria,spółka z o.o.,"Sprzedaż lamp, oświetlenia, akcesoriów oświetleniowych i elektronicznych sterowników w szczególności pod nazwą ERCO oraz planowanie i instalacja urządzeń oświetleniowych.",Tomasz Trokielewicz,ul. Biały Kamień 7,02-593,Warszawa,mazowieckie,Aktywne,30.04.2026
